OBJECTID,DATE,SHAPE_Length,SHAPE_Area
1,June 14,258220.941343096,1263241859.36847
2,June 24,108068.164314899,280211779.362654
3,May 30,469154.374540222,2889864286.63196
4,May 18,178337.199017602,164159975.016371
5,May 15,146689.213417053,561498993.014588
6,May 18,98021.1345289146,58172391.3131894
7,May 30,95179.4197195772,314545025.727526
8,June 14,67077.869358897,137074590.037699
9,June 29,52268.3407293731,118085102.194328
10,June 09,58136.603563454,197950768.784412
11,May 18,265031.410359164,1519145215.33548
12,May 30,6905501.35995623,60166392402.5625
13,May 15,31916.8871850255,66418031.4863198
14,June 09,129897.179796089,480777703.216358
15,May 18,6761324.40333628,12823920403.5312
16,May 15,369173.09167896,1881565766.22209
17,May 18,61763.3289021062,144831329.949925
18,June 14,4946575.09602842,33160863688.7969
19,June 14,90505.5245594754,163973643.117356
20,June 19,13675.89172245,6122665.35197713
21,May 15,5312375.89937495,37290539539.5938
22,April 30,3137339.60861019,17515615436.2891
23,April 18,852597.858519556,864415401.507502
24,April 15,480208.831827389,1453226005.53638
25,May 18,211790.630865273,139046823.586096
26,May 30,138149.869777301,405044686.826923
27,June 04,36448.1419866998,26902382.9740076
28,June 19,10547.7745781142,4356818.49906611
29,May 18,27014.593153636,16896722.5255735
30,June 29,956462.081821542,3597010121.52157
31,May 06,58874.93794429,86968778.0575167
32,June 19,38543.9257618313,76816343.9177073
33,June 14,141182.874338471,504722772.4286
34,June 29,1019153.18653103,8984570598.52344
35,June 24,176371.249097023,637558948.288359
36,June 24,349647.933519217,1027673897.44612
37,June 04,7265.22783267609,2755219.55105216
38,July 04,50448.8215782661,104009225.663291
39,June 04,25689.0627330478,39962852.911755
40,July 04,31756.1867033683,59415327.6582218
41,April 18,447042.554477349,1813163641.06498
42,June 14,297297.833467806,4354097362.95014
43,May 18,511278.522972815,766091654.322556
44,May 30,480425.958589469,5490381605.48318
45,April 15,49615.7366700374,138237385.765796
46,May 15,54451.7745901607,144486888.599244
47,May 06,24424.1552494488,30376718.8375454
48,April 15,21763.1358289436,21231295.3120127
49,May 30,279041.389439356,3261048159.2096
50,May 18,286477.062123806,950921191.569543
51,June 04,44624.4077240245,43373794.8307968
52,May 15,384266.19510462,3061461431.42854
53,May 15,176379.65800203,1751658328.77964
54,May 18,514105.50882743,1572801312.86312
55,May 18,179225.048457715,642852841.622572
56,May 30,196044.297496097,1468822225.79439
57,May 30,182945.188558186,1115955591.95818
58,May 30,86361.8545374264,357631994.962037
59,June 04,36962.3139892917,89379320.5247803
60,June 04,30391.6211348203,51964875.4808578
